Date,Time,Bet amount,Bet outcome,P of this eoutcome,
11/03/2024,16:49:08,1,2,21.9138057,
11/03/2024,16:49:12,1,-1,67.56756757,
11/03/2024,16:49:13,1,-1,45.65376187,
11/03/2024,16:49:15,2,-2,30.8471364,
11/03/2024,16:49:17,3,6,10.00447667,
11/03/2024,16:49:21,1,2,32.43243243,
11/03/2024,16:49:24,1,-1,67.56756757,
11/03/2024,16:49:26,1,2,21.9138057,
11/03/2024,16:49:30,1,2,32.43243243,
11/03/2024,16:49:34,1,-1,67.56756757,
11/03/2024,16:49:36,1,-1,45.65376187,
11/03/2024,16:49:38,2,4,14.80662547,
11/03/2024,16:49:42,1,2,32.43243243,
11/03/2024,16:49:46,1,-1,67.56756757,
11/03/2024,16:49:47,1,-1,45.65376187,
11/03/2024,16:49:49,2,-2,30.8471364,
11/03/2024,16:49:51,3,6,10.00447667,
11/03/2024,16:49:55,1,2,32.43243243,
11/03/2024,16:49:59,1,-1,67.56756757,
11/03/2024,16:50:02,1,-1,45.65376187,
11/03/2024,16:50:03,2,-2,30.8471364,
11/03/2024,16:50:05,3,-3,20.84265973,
11/03/2024,16:50:08,5,-5,14.0828782,
11/03/2024,16:50:11,8,-8,9.51545824,
11/03/2024,16:50:13,13,-13,6.429363676,
11/03/2024,16:50:17,21,-21,4.344164646,
11/03/2024,16:50:23,34,-34,2.935246382,
11/03/2024,16:50:31,55,110,0.9519718,
11/03/2024,16:50:34,1,-1,67.56756757,
11/03/2024,16:50:36,1,-1,45.65376187,
11/03/2024,16:50:37,2,-2,30.8471364,
11/03/2024,16:50:40,3,6,10.00447667,
11/03/2024,16:50:43,1,2,32.43243243,
11/03/2024,16:50:47,1,-1,67.56756757,
11/03/2024,16:50:48,1,-1,45.65376187,
11/03/2024,16:50:51,2,-2,30.8471364,
11/03/2024,16:50:52,3,-3,20.84265973,
11/03/2024,16:50:55,5,-5,14.0828782,
11/03/2024,16:50:57,8,-8,9.51545824,
11/03/2024,16:51:00,13,26,3.086094564,
11/03/2024,16:51:03,1,2,32.43243243,
11/03/2024,16:51:04,1,2,32.43243243,
11/03/2024,16:51:09,1,-1,67.56756757,
11/03/2024,16:51:10,1,2,21.9138057,
11/03/2024,16:51:14,1,-1,67.56756757,
11/03/2024,16:51:15,1,-1,45.65376187,
11/03/2024,16:51:18,2,4,14.80662547,
11/03/2024,16:51:21,1,2,32.43243243,
11/03/2024,16:51:25,1,-1,67.56756757,
11/03/2024,16:51:26,1,2,21.9138057,
11/03/2024,16:51:30,1,-1,67.56756757,
11/03/2024,16:51:32,1,2,21.9138057,
11/03/2024,16:51:36,1,-1,67.56756757,
11/03/2024,16:51:37,1,-1,45.65376187,
11/03/2024,16:51:39,2,4,14.80662547,
11/03/2024,16:51:43,1,2,32.43243243,
11/03/2024,16:51:44,1,-1,67.56756757,
11/03/2024,16:51:46,1,-1,45.65376187,
11/03/2024,16:51:47,2,-2,30.8471364,
11/03/2024,16:51:50,3,-3,20.84265973,
11/03/2024,16:51:51,5,-5,14.0828782,
11/03/2024,16:51:54,8,-8,9.51545824,
11/03/2024,16:51:58,13,-13,6.429363676,
11/03/2024,16:52:02,21,-21,4.344164646,
11/03/2024,16:52:06,34,-34,2.935246382,
11/03/2024,16:52:14,55,110,0.9519718,
